(よんじゅうに)	四十二	"forty two, the answer"	2
(かいがん)	海岸	"seashore, coast, seacoast"	11
(くろい)	黒い	"black"	7
(ちち)	父	"father"	3
(かたな)	刀	"sword, katana"	2
(すうじ)	数字	"numeral, digit"	8
(かく, かど)	角	"angle, corner"	5
(さんかく)	三角	"triangle"	5
(でぐち)	出口	"exit"	2
(らいげつ)	来月	"next month"	5
(たいない)	体内	"internal, within the body, inside the body"	5
(じんこう)	人口	"population"	1
(こ)	子	"kid, child"	2
(しんがん)	心願	"heartfelt desire, heartfelt wish, prayer, heart's desire"	13
(ねがいごと)	願い事	"one's wish, prayer, wish"	17
(むし)	虫	"bug, insect"	4
(ねっしん)	熱心	"enthusiasm, passion, zeal"	13
(あつい)	熱い	"hot thing, hot"	13
(えきちょう)	駅長	"station master, stationmaster, train station master, train stationmaster"	13
(どうかん)	同感	"sympathy, same sentiment, concurrence, agree, empathy"	13
(ごかん)	五感	"the five senses, five senses"	13
(かんしゃ)	感謝	"thanks, gratitude"	13
(ゆびわ)	指輪	"ring"	15
(しゃりん)	車輪	"tire, car wheel, tyre"	13
(えいがかん)	映画館	"movie theater, cinema, movie theatre"	15
(えいが)	映画	"movie, film"	13
(みみうち)	耳打ち	"whisper in ear, whisper in one's ear, whisper in someone's ear"	4
(なさけ)	情け	"pity, sympathy, mercy, compassion"	13
(にんじょう)	人情	"humanity, human feelings, empathy, kindness, sympathy"	13
(しんじゅく)	新宿	"shinjuku"	13
(ひょうじょう)	表情	"facial expression"	13
(わ)	輪	"ring, wheel, loop"	13
(みる)	見る	"to see, to look"	4
(えき)	駅	"station, train station"	13
(えきまえ)	駅前	"front of station, in front of station, front of the station, in front of the station, station front"	13
(ふゆやすみ)	冬休み	"winter holiday, winter break, winter vacation"	6
(かんじ)	感じ	"feeling, sense, impression"	13
(かちょう)	課長	"section manager, section chief"	13
(やくぶつ)	薬物	"medicines, drugs"	17
(くすり)	薬	"medicine, drug, drugs"	17
(やくほう)	薬方	"prescription"	17
(やくがく)	薬学	"study of pharmacy, pharmacology, pharmaceutics"	17
(そうだん)	相談	"consultation, discussion, advice"	9
(じゅうろく)	十六	"sixteen"	2
(た)	田	"rice field, rice paddy"	2
(むっつ)	六つ	"six things"	2
(かいし)	開始	"start, beginning, opening"	10
(き)	木	"tree, wood"	2
(まるごと)	丸ごと	"in its entirety, whole, wholly, entirely"	4
(しんちく)	新築	"newly built, new building, new construction"	15
(にせんじゅういちねん)	２０１１年	"year 2011, 2011, the year 2011"	4
(きねんび)	記念日	"holiday, anniversary, memorial day"	16
(えきいん)	駅員	"train station employee, train station staff, train station attendant, station attendant, station employee"	13
(おとうと)	弟	"younger brother, little brother"	5
(きよう)	器用	"dextrous, skillful, dexterous, skilful"	13
(ぶきよう)	不器用	"clumsy, unskillful"	15
(はいる)	入る	"to enter"	1
(じ)	字	"character, kanji character, letter, symbol"	4
(きゅうし)	休止	"pause, rest, break"	4
(せいり)	整理	"arrangement, sorting, organization, adjustment"	13
(れんしゅう)	練習	"practice"	13
(せいりする)	整理する	"to arrange, to organize, to sort"	15
(せいぜん)	整然	"orderly, systematic, well organized, natural order"	13
(あやまる)	謝る	"to apologize, to apologise"	13
(ふくしま)	福島	"fukushima"	13
(うつわ)	器	"container, bowl, vessel"	13
(なげつける)	投げ付ける	"to throw against, to throw at"	10
(おく)	億	"hundred million"	13
(いちおく)	一億	"one hundred million"	13
(かんじょう)	感情	"feeling, emotion"	13
(じっかん)	実感	"real feeling, actual feeling"	13
(いちおくえん)	一億円	"one hundred million yen"	13
(おちば)	落ち葉	"fallen leaves, fallen leaf"	12
(せんろ)	線路	"railroad track, train track, railway track, track, line"	10
(わごむ, わゴム)	輪ゴム	"rubber band, elastic band"	15
(どうろ)	道路	"paved road, road, sealed road"	10
(はつか)	二十日	"twentieth day, day twenty, twenty days"	4
(なのか)	七日	"seventh day, day seven, seven days"	2
(とおり)	通り	"avenue, street, road, way"	9
(きほん)	基本	"foundation, basics"	14
(かんぜん)	完全	"complete, perfect, perfection, completeness"	14
(しつぼう)	失望	"disappointment, despair"	14
(しせいかつ)	私生活	"personal life, one's personal life, private life, one's private life"	14
(わたし, わたくし)	私	"i"	14
(しだい)	私大	"private college, private university, private uni"	18
(じんせい)	人性	"human nature, instinct"	14
(せいびょう)	性病	"sexually transmitted disease, std, sexually transmitted infection, sti"	14
(だんせい)	男性	"male, man, guy"	14
(せい)	性	"gender, nature, sex"	14
(かためる)	固める	"to make hard, to harden"	16
(かたい)	固い	"hard"	14
(かたまる)	固まる	"to harden, to solidify, to become firm, to become certain"	18
(みっか)	三日	"third day, day three, three days"	2
(ざんねん)	残念	"too bad, unfortunate"	14
(もくてき)	目的	"purpose, goal, motive"	14
(よわむし)	弱虫	"weakling, coward"	9
(きぼうする)	希望する	"to request, to wish, to hope, to want, to expect"	16
(おる)	折る	"to fold"	14
(おりめ)	折り目	"fold, crease"	16
(せっかく)	折角	"with trouble, with difficulty, going through the trouble, trouble with, difficulty with, on purpose, deliberately"	14
(だきょうする)	妥協する	"to compromise"	16
(きょうかい)	協会	"union, association, organization, organisation"	14
(だきょう)	妥協	"compromise, giving in"	14
(しゅうき)	周期	"cycle, period"	14
(ごうかくする)	合格する	"to pass a test, to pass an exam"	14
(ざいりょう)	材料	"ingredients, material"	14
(そつぎょうする)	卒業する	"to graduate"	16
(ほんのう)	本能	"instinct"	14
(れいぶん)	例文	"example sentence, model sentence, sample sentence"	14
(あくれい)	悪例	"bad example, bad precedent"	14
(げいのうかい)	芸能界	"showbusiness, showbiz, show business"	14
(げいしゃ)	芸者	"geisha"	14
(げいにん)	芸人	"comedian, actor, performer"	14
(りせい)	理性	"reason, sense, intellect, understanding"	14
(さんにん)	三人	"three people, three persons"	1
(のこす)	残す	"to leave behind, to leave over"	16
(ふかんぜん)	不完全	"incomplete, imperfect"	16
(はな)	花	"flower"	4
(よう)	用	"task, use, duty, service, business, purpose, function"	3
(べいこく)	米国	"america, united states, united states of america, usa"	6
(まいにち)	毎日	"every day, daily"	5
(ようきゅう)	要求	"demand, requirement"	14
(せいかく)	性格	"personality, character"	14
(こっかく)	骨格	"skeleton"	14
(こっせつ)	骨折	"broken bone, fracture, bone fracture"	14
(ここのか)	九日	"nine days, day nine, ninth day"	2
(ととのえる)	整える	"to arrange, to put in order, to adjust, to prepare"	15
(してつ)	私鉄	"private railway"	14
(かっこう)	格好	"shape, form, posture, appearance"	14
(がんぼう)	願望	"desire, wish, aspiration"	14
(たとえば)	例えば	"for example, for instance"	14
(きょうりょく)	協力	"cooperation"	14
(わたしじしん, わたくしじしん)	私自身	"personally, as for me, myself"	16
(あし)	足	"foot, leg"	4
(たりない)	足りない	"not enough, to not be sufficient, to not be enough, insufficient, not sufficient, to be insufficient"	6
(のぞみ)	望み	"wish, hope, desire"	14
(しゃない)	車内	"inside the car, in the car, in a car, inside a car, within the car, within a car"	4
(かわ)	皮	"skin, hide"	4
(げんき)	元気	"energy, spirit, health"	4
(しかたがない)	仕方がない	"can't be helped, it can't be helped, no use, it's no use, it is no use"	6
(しゅうねん)	周年	"anniversary"	14
(いちれい)	一例	"instance, example"	14
(しき)	四季	"the four seasons, four seasons"	14
(かわり)	代わり	"substitute, replacement"	6
(とおか)	十日	"ten days, day ten, tenth day"	2
(じんかく)	人格	"character, personality"	14
(おねがい)	お願い	"a request, request, wish, please"	15
(さい)	〜才	"years old, age"	2
(がくねん)	学年	"school grade, grade in school, school year, year in school"	5
(まつ)	松	"pine, pine tree"	14
(まつば)	松葉	"pine needle"	14
(かこむ)	囲む	"to surround"	14
(ふんいき)	雰囲気	"atmosphere, ambience, ambiance, mood"	14
(しゅうい)	周囲	"perimeter, circumference, surroundings, environs"	14
(きほんてき)	基本的	"fundamentals, basics, fundamental, standard, basic"	16
(じどうてき)	自動的	"automatic"	16
(にほんてき)	日本的	"very japanese, typically japanese"	14
(きんだいてき)	近代的	"modern"	14
(やくそく)	約束	"promise, appointment, pact"	14
(よやく)	予約	"reservation, appointment"	14
(ある)	有る	"to have, to exist"	6
(げいじゅつか)	芸術家	"artist"	16
(びじゅつかん)	美術館	"museum, art museum, art gallery"	16
(げいじゅつ)	芸術	"art, the arts, fine art"	14
(ひとびと)	人々	"people, everybody"	2
(ざいもく)	材木	"lumber, timber, wood"	14
(かず)	数	"number, count, amount"	8
(すうねん)	数年	"several years"	8
(れいがい)	例外	"exception"	14
(ようび)	曜日	"day of the week, weekday"	16
(がんこ)	頑固	"stubborn"	14
(かんりょう)	完了	"completion, complete, finish, conclusion"	14
(しょっき)	食器	"tableware, eating utensils, utensils"	13
(まわり)	周り	"circumference, perimeter, edge, surroundings, locality, neighborhood"	14
(あおば)	青葉	"fresh leaves, greenery, young leaves"	10
(さいのう)	才能	"talent, ability, genius"	14
(どようび)	土曜日	"saturday"	18
(げつようび)	月曜日	"monday"	18
(かんじる)	感じる	"to feel"	13
(えん)	円	"money, yen"	2
(しゃしん)	写真	"photo, photograph, picture"	16
(まっくろ)	真っ黒	"pitch black, pure black"	16
(まるい)	丸い	"circular, round, spherical"	2
(ふごうかく)	不合格	"fail a test, failure, fail an exam"	16
(なおす)	治す	"to cure, to heal"	16
(せいじ)	政治	"politics, government"	16
(ふじ, ふち )	不治	"incurability, incurable"	16
(ろく)	六	"six"	2
(しる)	知る	"to know"	6
(かえる)	代える	"to replace, to substitute, to exchange, to replace something, to substitute something, to exchange something"	6
(やど)	宿	"lodging, inn, hotel, lodge"	13
(にもつ)	荷物	"luggage, baggage, load"	16
(てにもつ)	手荷物	"hand baggage, hand luggage, cabin baggage, carry on"	18
(しんじん)	信心	"faith, belief"	15
(しんごう)	信号	"traffic light, signal, traffic signal, stoplight, semaphore"	15
(ふしん)	不信	"distrust, unfaithfulness"	15
(えいぶん)	英文	"english writing, english composition"	15
(えいかいわ)	英会話	"english conversation"	15
(えいご)	英語	"english language, english"	15
(えいこく)	英国	"britain, uk, united kingdom, england"	15
(ごはん)	ご飯	"meal, cooked rice"	15
(あさごはん)	朝ご飯	"breakfast"	17
(ばんごはん)	晩ご飯	"dinner, supper"	17
(うつる)	映る	"to be reflected, to be projected"	13
(そつぎょうしき)	卒業式	"graduation ceremony, graduation"	16
(しき)	式	"ceremony, ritual, equation"	15
(なさけない)	情けない	"miserable, pitiable, shameful, deplorable, wretched, sad, pitiful"	15
(おもいだす)	思い出す	"to remember, to recall"	8
(じょうし)	上司	"boss, superior"	15
(ぶつぞう)	仏像	"image of buddha, statue of buddha"	16
(だいぶつ)	大仏	"giant buddha statue, daibutsu, giant statue of buddha, large buddha statue, large statue of buddha"	15
(ぶっきょう)	仏教	"buddhism"	15
(いとてき)	意図的	"intentional, on purpose"	14
(かわる)	変わる	"to be changed, to be transformed, to be altered, to vary, to be turned"	17
(へん)	変	"strange"	15
(ぐんじん)	軍人	"soldier"	15
(どくがす, どくガス)	毒ガス	"poison gas"	15
(ゆうどく)	有毒	"poisonous, toxic"	15
(しょくちゅうどく)	食中毒	"food poisoning"	15
(てき)	〜的	"al, like, typical"	14
(く)	区	"district, ward"	15
(じょうだん)	冗談	"joke"	16
(けんちく)	建築	"architecture, construction"	15
(おおさか)	大阪	"osaka, oosaka"	16
(はんしん)	阪神	"hanshin"	16
(べんとう)	弁当	"bento, box lunch"	16
(べん)	〜弁	"dialect"	16
(えきべん)	駅弁	"train station bento, station bento"	18
(おおさかべん)	大阪弁	"osaka dialect"	18
(かんさい)	関西	"kansai"	16
(かんけい)	関係	"connection, relation"	16
(かんさいべん)	関西弁	"kansai dialect"	18
(おまもり)	お守り	"charm, amulet"	18
(いっしゅう)	一周	"one time around, once around"	14
(あぶない)	危ない	"dangerous"	16
(ぐん)	軍	"army, troops, force"	15
(へんじん)	変人	"an eccentric, eccentric, oddball"	15
(やくする)	約する	"to promise"	14
(なく)	泣く	"to cry"	15
(せいき)	世紀	"century"	15
(たんに)	単に	"simply, merely"	15
(どく)	毒	"poison"	15
(たつ)	建つ	"to be erected, to be built"	17
(ちく)	地区	"district, area, zone"	15
(さっこん)	昨今	"these days, nowadays"	15
(おととい, いっさくじつ)	一昨日	"day before last, day before yesterday"	17
(はれる)	晴れる	"to clear up, to become sunny"	15
(ちゅうどく)	中毒	"poisoning, addiction"	15
(めし)	飯	"meal, cooked rice, food"	15
(きゅうじつ)	休日	"holiday"	4
(たんご)	単語	"word, vocabulary"	15
(いちねんせい)	一年生	"first year student"	4
(ぶってん)	仏典	"buddhist scriptures, buddhist writing"	16
(せいほ)	生保	"life insurance"	16
(ほぞん)	保存	"preserve, preservation, conservation"	16
(ほじする)	保持する	"to maintain, to preserve"	18
(ごみばこ, ゴミばこ)	ゴミ箱	"garbage can, garbage bin, trash can, trash bin, waste can, waste bin, rubbish bin"	16
(きゅう)	急	"urgent, sudden, abrupt"	16
(きゅうに)	急に	"suddenly, immediately, abruptly"	16
(きゅうし)	急死	"sudden death"	16
(くぶん)	区分	"division, classification"	15
(かいぐん)	海軍	"navy"	15
(たいら)	平ら	"flat"	4
(きのう, さくじつ)	昨日	"yesterday"	15
(はる)	春	"spring"	15
(はるやすみ)	春休み	"spring break, spring vacation, spring holiday"	15
(かんそう)	感想	"impressions, one's impressions, thoughts"	13
(ごうけい)	合計	"total, sum"	15
(けいさん)	計算	"calculation"	15
(いわ)	岩	"boulder"	15
(あき)	秋	"autumn, fall"	15
(ひる)	昼	"noon"	15
(ひるやすみ)	昼休み	"lunch break, noon break"	15
(ひるごはん)	昼ご飯	"lunch"	17
(かいわ)	会話	"conversation, dialogue"	8
(こねこ)	子猫	"kitten, kitty"	15
(くに)	国	"country, nation"	6
(たてる)	建てる	"to build, to construct"	15
(ほんとう)	本当	"reality, truth"	5
(てんさい)	天才	"genius"	2
(ごじゅう)	五十	"fifty"	2
(ふつか)	二日	"second day, day two, two days"	2
(め)	目	"eye"	2
(よんじゅう)	四十	"forty"	2
(つき)	月	"moon, month"	2
(て)	手	"hand"	2
(みぎ)	右	"right direction, right"	2
(てら)	寺	"temple"	15
(ねこ)	猫	"cat"	15
(とけい)	時計	"watch, clock"	15
(かえる)	帰る	"to return home, to return"	15
(はれ)	晴れ	"clear weather"	15
(どせい)	土星	"saturn"	6
(かえる)	変える	"to change"	15
(いっぽ)	一歩	"one step"	6
(ちゅうごく)	中国	"china"	6
(にほん, にっぽん)	日本	"japan"	2
(おうじょ)	王女	"princess"	2
(じょおう)	女王	"queen"	2
(おうじ)	王子	"prince"	2
(あさい)	浅い	"shallow"	15
(へんしん)	返信	"reply"	15
(ひだりて)	左手	"left hand"	2
(じょし)	女子	"girl"	2
(ぎじゅつ)	技術	"art, craft, technique"	16
(たけ, だけ)	丈	"height, only, just"	15
(こざら)	小皿	"small plate, small dish, little plate, little dish"	4
(かん)	〜間	"amount of time, interval of time, time interval, period of time"	8
(じかん)	時間	"time"	8
(おれる)	折れる	"to break, to snap, to fracture"	16
(おりがみ)	折り紙	"origami, art of paper folding"	16
(おもいで)	思い出	"a memory, memories, memory"	8
(ばん)	晩	"night, evening"	15
(れんしゅうする)	練習する	"to practice, to practise"	15
(やく)	約	"about, approximately"	14
(てんすう)	点数	"points, score"	8
(かんがえかた)	考え方	"way of thinking, thought process"	5
(がくもん)	学問	"scholarship, study, learning"	13
(あんきする)	暗記する	"to memorize, to memorise"	15
(くらい)	暗い	"dark"	13
(ぶんぽう)	文法	"grammar"	15
(さまざま)	様々	"various, many"	13
(さま)	〜様	"formal name ender, formal name title, sama, very formal name ender"	13
(せんしゅ)	選手	"pro athlete, sports player, professional athlete"	13
(えらぶ)	選ぶ	"to choose"	13
(みどりいろ)	緑色	"green, color green, green color, colour green, green colour"	13
(みどり)	緑	"green"	13
(りょかん)	旅館	"japanese inn, japanese hotel, inn, ryokan, japanese style inn, japanese style hotel"	13
(ぜんにほん, ぜんにっぽん)	全日本	"all japan, all of japan"	6
(がっき)	楽器	"musical instrument"	13
(りきし)	力士	"sumo wrestler"	13
(ようし)	養子	"adopted child"	13
(みなさん, みんなさん)	皆さん	"everyone, everybody, all"	13
(みなさま)	皆様	"everyone, all, everybody"	13
(のみかい)	飲み会	"drinking party"	13
(とおる)	通る	"to pass, to pass through"	7
(えいわ)	英和	"english japanese"	15
(おねがいします)	お願いします	"please help me, please, if you would be so kind"	13
(ふりょう)	不良	"bad, substandard, delinquent"	11
(かわる)	代わる	"to replace, to substitute for, to substitute, to be replaced, to be substituted, to be substituted for"	4
(つきみ)	月見	"moon viewing"	4
(おちる)	落ちる	"to fall down, to drop, to fall"	10
(つき)	〜付き	"including, included, furnished with, attached to"	11
(ふきん)	付近	"neighborhood, neighbourhood, vicinity, environs, nearby, locality"	9
(てがみ)	手紙	"letter"	7
(ほか)	他	"other"	4
(しかた)	仕方	"method, way, way of doing"	4
(ご)	五	"five"	2
(よっつ)	四つ	"four things"	2
(ようか)	八日	"eight days, day eight, eighth day"	2
(せんえん)	千円	"1000 yen, one thousand yen, a thousand yen, thousand yen"	2
(ほん)	本	"book"	2
(なか)	仲	"relationship, relation"	11
(せん)	千	"thousand"	2
(こうつう)	交通	"traffic"	7
(ちいさい)	小さい	"small, little"	2
(たま)	玉	"ball"	2
(いぬ)	犬	"dog"	2
(かしゅ)	歌手	"singer"	10
(おれい)	お礼	"thanks, gratitude"	4
(たしざん)	足し算	"addition"	10
(まるい)	円い	"round, circular"	2
(ぶしゅ)	部首	"radical"	9
(ふめい)	不明	"unknown, unclear, uncertain, unsure"	6
(たりる)	足りる	"to be enough, to be sufficient, to suffice"	4
(たてる)	立てる	"to stand up, to stand something up, to erect, to erect something"	2
(むら)	村	"village, rural town"	4
(つける)	付ける	"to attach"	7
(きいろ)	黄色	"yellow, yellow colour, yellow color, colour yellow, color yellow"	7
(ただす)	正す	"to correct"	2
(もじどおり)	文字通り	"literal, literally, to the letter"	11
(くばる)	配る	"to distribute, to pass out, to deliver"	10
(みごと)	見事	"splendid, magnificent, beautiful, admirable, praiseworthy act, feat"	11
(しんぱいごと)	心配事	"cares, worries, troubles"	12
(みず)	水	"water"	2
(いっき)	一気	"one breath, one go, one sitting"	4
(すいちゅう)	水中	"underwater"	2
(めがみ)	女神	"goddess, female deity"	13
(まいげつ, まいつき)	毎月	"every month, monthly"	5
(まいかい)	毎回	"every time, each time"	5
(まいとし, まいねん)	毎年	"every year, yearly, annually, each year"	5
(ゆうべ)	夕べ	"evening, last night"	2
(ひろう)	拾う	"to pick up, to find, to gather"	11
(ちゅうもん)	注文	"order, request"	11
(しか, しいか)	詩歌	"poetry"	13
(しじん)	詩人	"poet"	13
(し)	詩	"poem"	13
(がぞう)	画像	"image, portrait, picture"	13
(さんていする)	算定する	"to calculate"	10
(くさち)	草地	"meadow, grassland"	6
(よん, し)	四	"four"	2
(おんなのこ)	女の子	"young lady, young woman, young girl, girl"	2
(こうがくしゃ)	工学者	"engineer"	8
(たすける)	助ける	"to help, to save, to rescue"	8
(くうかん)	空間	"space"	8
(がくしゃ)	学者	"scholar"	8
(じょりょく)	助力	"assistance, support"	8
(え)	絵	"painting, drawing, picture"	8
(うた)	歌	"song"	10
(さんすう)	算数	"arithmetic, math, mathematics"	10
(ようしつ)	洋室	"western style room"	11
(きって)	切手	"postage stamp, stamp"	4
(きる)	切る	"to cut"	3
(おにいさん)	お兄さん	"older brother, big brother, elder brother"	3
(しがつ)	四月	"april"	2
(わける)	分ける	"to separate, to divide, to part, to split"	3
(とめる)	止める	"to stop something, to stop"	3
(じゅうだい)	十台	"ten machines"	3
(にだい)	二台	"two machines"	3
(だい)	〜台	"big machine, big device, machine, device, machine counter, number of machines"	3
(いちだい)	一台	"one machine"	3
(あめ)	雨	"rain"	5
(かぞえる)	数える	"to count"	8
(にく)	肉	"meat"	5
(ひにく)	皮肉	"irony, sarcasm"	5
(ふとる)	太る	"to get fat, to become fat, to grow fat"	3
(また)	又	"again, and"	2
(ち)	地	"earth, ground"	6
(しかく)	四角	"square, rectangle"	5
(たにん)	他人	"another person, other people, stranger"	4
(すうがく)	数学	"mathematics, math, maths"	8
(まん)	万	"ten thousand"	3
(きれる)	切れる	"to be cut, to snap, to break"	3
(してん)	支店	"branch office, branch store"	8
(ぎもん)	疑問	"doubt"	13
(あんさつ)	暗殺	"assassination"	13
(ころす)	殺す	"to kill"	13
(さつじん)	殺人	"murder"	13
(いちだい)	一代	"lifetime, one lifetime, generation"	4
(もくひょう)	目標	"goal, target"	13
(しょうきん)	賞金	"cash prize, prize money"	13
(ぎゅうにく)	牛肉	"beef"	5
(ささえる)	支える	"to support"	8
(よむ)	読む	"to read"	10
(おなじ)	同じ	"same"	5
(ひく)	引く	"to pull, to subtract"	3
(はね)	羽	"feathers, feather, wing, wings"	5
(きゅうこう)	急行	"express"	16
(むりょく)	無力	"powerless, powerlessness, helplessness"	17
(むきゅう)	無休	"no holidays, always open"	17
(むち)	無知	"ignorance"	17
(むりょう)	無料	"free, without charge"	17
(なし)	無し	"without, with no"	17
(れつ)	列	"line, line of things, line of people, queue"	15
(ほとけ)	仏	"buddha"	15
(あいこくしん)	愛国心	"patriotism"	17
(じあい)	自愛	"self love, selfishness"	17
(あいする)	愛する	"to love"	17
(みぎがわ)	右側	"right side"	17
(とぐち)	戸口	"doorway"	3
(ふにんき)	不人気	"unpopular, not popular"	7
(しつ)	〜室	"room"	6
(うちがわ)	内側	"inside"	17
(りょうがわ)	両側	"both sides"	17
(ちゅうがくせい)	中学生	"middle school student, junior high school student, middle schooler, junior high schooler, junior high student"	7
(さっち)	察知	"inference, infer, sense"	17
(ちず)	地図	"map"	6
(さんかくけい, さんかっけい)	三角形	"triangle"	7
(こんしゅう)	今週	"this week"	7
(さかな)	魚	"fish"	7
(よみかた)	読み方	"reading, pronunciation, way of reading"	10
(きょうりょく)	強力	"strength, strong, powerful"	7
(じゅうしょ)	住所	"address"	8
(たけ)	竹	"bamboo"	4
(しそう)	思想	"thought, idea"	13
(こおり)	氷	"ice"	4
(あかちゃん)	赤ちゃん	"baby"	4
(たつ)	立つ	"to stand"	2
(にまん)	二万	"twenty thousand"	3
(だいよう)	代用	"substitution"	4
(うつす)	写す	"to copy, to photograph, to take a picture"	4
(こもじ)	小文字	"lowercase letter, lowercase character, lowercase, lowercase letters, lowercase characters"	6
(こうじょう, こうば)	工場	"factory"	8
(えもじ)	絵文字	"emoji"	8
(まったく)	全く	"completely, entirely, truly, really, wholly"	8
(しんこう)	進行	"advance, progress"	10
(すいぎん)	水銀	"mercury, quicksilver"	13
(ぎんいろ)	銀色	"silver, silver color, silver colour, colour silver, color silver"	13
(きんじつ)	近日	"soon, in a few days, coming days"	5
(ばしょ)	場所	"place, location, spot"	8
(よそう)	予想	"expectation, anticipation, expect, anticipate, prediction"	13
(しんたい, からだ)	身体	"the body, health, body"	8
(しんしん)	心身	"body and mind, mind and body"	8
(しきょく)	支局	"branch office"	8
(じりつ)	自立	"independence, self reliance"	5
(でんわ)	電話	"telephone, phone"	8
(やくにん)	役人	"public official, government official, public servant"	8
(やくめ)	役目	"duty, business, role"	8
(にっき)	日記	"diary, journal"	7
(ばあい)	場合	"case, circumstance, situation"	8
(あう)	合う	"to suit, to come together, to meet, to match"	8
(やくば)	役場	"town hall, town office, public office"	8
(きもちいい)	気持ちいい	"good feeling, feeling good, feels good"	11
(まもなく)	間もなく	"soon, before long, in a short time, shortly, momentarily"	8
(ちちゅうかい)	地中海	"mediterranean sea"	8
(あいず)	合図	"sign, signal"	8
(めいしゃ)	目医者	"eye doctor, oculist"	10
(かう)	買う	"to buy"	8
(じけつ)	自決	"suicide, self determination"	8
(よわよわしい)	弱々しい	"weak looking, frail, weak seeming, seemingly weak"	9
